Year	Grade	Subject	Low Income	Non-Low Income	AA	White
2011	GRADE 10	SCIENCE	50	68	35	86
2011	ALL GRADES	ENGLISH	50	80	50	80
2011	ALL GRADES	MATHEMATICS	39	69	37	72
2011	ALL GRADES	SCIENCE	-	-	-	-
2012	GRADE 3	ENGLISH	50	76	42	84
2012	GRADE 3	MATHEMATICS	46	82	43	83
2012	GRADE 4	ENGLISH	27	74	32	70
2012	GRADE 4	MATHEMATICS	25	68	26	63
2012	GRADE 5	ENGLISH	44	73	40	77
2012	GRADE 5	MATHEMATICS	39	69	28	73
2012	GRADE 5	SCIENCE	24	65	18	73
2012	GRADE 6	ENGLISH	48	80	41	81
2012	GRADE 6	MATHEMATICS	39	74	33	77
2012	GRADE 7	ENGLISH	55	85	54	85
2012	GRADE 7	MATHEMATICS	32	69	32	70
2012	GRADE 8	ENGLISH	58	84	59	80
2012	GRADE 8	MATHEMATICS	35	64	33	66
2012	GRADE 8	SCIENCE	19	55	15	64
2012	GRADE 10	ENGLISH	79	91	76	92
2012	GRADE 10	MATHEMATICS	77	89	70	92
2012	GRADE 10	SCIENCE	47	79	40	83
2012	ALL GRADES	ENGLISH	50	81	49	80
2012	ALL GRADES	MATHEMATICS	42	73	38	75
2012	ALL GRADES	SCIENCE	30	66	25	74
2013	GRADE 3	ENGLISH	37	82	34	81
2013	GRADE 3	MATHEMATICS	51	86	47	85
2013	GRADE 4	ENGLISH	40	73	35	79
2013	GRADE 4	MATHEMATICS	44	76	37	80
2013	GRADE 5	ENGLISH	50	76	49	78
2013	GRADE 5	MATHEMATICS	37	75	35	73
2013	GRADE 5	SCIENCE	24	64	23	63
2013	GRADE 6	ENGLISH	49	78	39	84
2013	GRADE 6	MATHEMATICS	46	77	36	79
2013	GRADE 7	ENGLISH	47	84	42	83
2013	GRADE 7	MATHEMATICS	28	67	27	64
2013	GRADE 8	ENGLISH	61	90	62	89
2013	GRADE 8	MATHEMATICS	34	78	36	74
2013	GRADE 8	SCIENCE	19	59	20	61
2013	GRADE 10	ENGLISH	83	96	82	97
2013	GRADE 10	MATHEMATICS	71	93	69	92
2013	GRADE 10	SCIENCE	55	81	50	82
2013	ALL GRADES	ENGLISH	52	83	48	84
2013	ALL GRADES	MATHEMATICS	44	79	41	79
2013	ALL GRADES	SCIENCE	32	68	30	68
2014	GRADE 3	ENGLISH	46	80	44	79
2014	GRADE 3	MATHEMATICS	66	88	63	87
2014	GRADE 4	ENGLISH	42	74	46	76
2014	GRADE 4	MATHEMATICS	37	73	35	75
2014	GRADE 5	ENGLISH	50	80	49	81
